Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта
Гангстер;Ридли Скотт;США;криминал, драма;2007;628;7.8
Навсикая из долины Ветров;Хаяо Миядзаки;Япония;фантастика, аниме , приключения, драма, анимация;1984;629;7.8
Джейн Эйр;Кэри Фукунага;Великобритания;мелодрама, драма;2011;630;7.8
Порок на экспорт;Дэвид Кроненберг;Великобритания / Канада / США;драма, триллер, мистика;2007;631;7.8
Классный мюзикл;Кенни Ортега;США;мелодрама, комедия, семейный, мюзикл;2006;632;7.8
Шевели ластами;Бен Стассен;Бельгия;анимация, приключения;2009;633;7.8
Кошмар перед Рождеством;Генри Селик;США;семейный, фэнтези, мюзикл, анимация;1993;634;7.8
Чудаки 3D;Джефф Треймейн;США;документальный, комедия;2010;635;7.7
Сумерки. Сага. Затмение;Дэвид Слэйд;США;мелодрама, фэнтези;2010;636;7.7
Зверопой;Гарт Дженнингс;США;мюзикл, анимация;2016;637;7.7
Легенда;Брайан Хелгеленд;Великобритания / Франция;триллер, драма, криминал;2015;638;7.7
Дориан Грей;Оливер Паркер;Великобритания;драма;2009;639;7.7
Шоу Трумана;Питер Уир;США;драма, фантастика;1998;640;7.7
Ветер крепчает;Хаяо Миядзаки;Япония;драма, анимация, аниме ;2013;641;7.7
Судный день;Нил Маршалл;Великобритания;драма, триллер, боевик, ужасы;2008;642;7.7
Кто я;Баран бо Одар;Германия;триллер;2014;643;7.7
Сайлент Хилл 2 3D;М. Дж. Бассетт;США / Франция;ужасы;2012;644;7.7
Космос между нами;Питер Челсом;США;фантастика;2016;645;7.7
Убить Билла 2;Квентин Тарантино;США;боевик, драма, триллер, криминал;2004;646;7.7
Бой с тенью;Алексей Сидоров;Россия;боевик, драма;2005;647;7.7
Книжный клуб;Билл Холдермэн;США;комедия;2018;648;7.7
Тачки 2;Брэд Льюис;США;анимация, комедия, семейный;2011;649;7.7
Однажды в Америке;Серджио Леоне;США / Италия;драма;1983;650;7.7
Последняя песня;Джули Энн Робинсон;США;драма;2010;651;7.7
Пленницы;Дени Вильнев;США;триллер, драма, криминал;2013;652;7.7
Территория;Александр Мельник;Россия;драма, приключения;2014;653;7.7
127 часов;Дэнни Бойл;США / Великобритания;драма;2010;654;7.7
Красная шапочка;Кэтрин Хардвик;США;драма, триллер, фэнтези;2011;655;7.7
Разбогатей или сдохни;Джим Шеридан;США;драма, мюзикл, боевик, криминал;2005;656;7.7
Заколдованный мальчик;Владимир Полковников;СССР;семейный, анимация;1955;657;7.7
Похороните меня за плинтусом;Сергей Снежкин;Россия;драма;2009;658;7.7
Красотка;Гэрри Маршалл;США;комедия;1990;659;7.7
Транс;Дэнни Бойл;Великобритания;триллер, криминал, драма;2013;660;7.7
